source,target,confidence,note
reference/review_assets/canonical_from_jar_png/createcs/bk.png,reference/review_assets/character_creation_organized/00_ui_confirmed/bk.png,confirmed_runtime,Loaded directly by nw.java from /createcs/*.
reference/review_assets/canonical_from_jar_png/createcs/stone.png,reference/review_assets/character_creation_organized/00_ui_confirmed/stone.png,confirmed_runtime,Loaded directly by nw.java from /createcs/*.
reference/review_assets/canonical_from_jar_png/offline/99000.png,reference/review_assets/character_creation_organized/01_core_compositor/body_sheet_family_990xx_confirmed/99000.png,confirmed_runtime,Confirmed body sheet family used by mb.java via 99000 + frameGroup.
reference/review_assets/canonical_from_jar_png/offline/99001.png,reference/review_assets/character_creation_organized/01_core_compositor/body_sheet_family_990xx_confirmed/99001.png,confirmed_runtime,Confirmed body sheet family used by mb.java via 99000 + frameGroup.
reference/review_assets/canonical_from_jar_png/offline/99002.png,reference/review_assets/character_creation_organized/01_core_compositor/body_sheet_family_990xx_confirmed/99002.png,confirmed_runtime,Confirmed body sheet family used by mb.java via 99000 + frameGroup.
reference/review_assets/canonical_from_jar_png/offline/99003.png,reference/review_assets/character_creation_organized/01_core_compositor/body_sheet_family_990xx_confirmed/99003.png,confirmed_runtime,Confirmed body sheet family used by mb.java via 99000 + frameGroup.
reference/review_assets/canonical_from_jar_png/offline/99004.png,reference/review_assets/character_creation_organized/01_core_compositor/body_sheet_family_990xx_confirmed/99004.png,confirmed_runtime,Confirmed body sheet family used by mb.java via 99000 + frameGroup.
reference/review_assets/canonical_from_jar_png/offline/99005.png,reference/review_assets/character_creation_organized/01_core_compositor/body_sheet_family_990xx_confirmed/99005.png,confirmed_runtime,Confirmed body sheet family used by mb.java via 99000 + frameGroup.
reference/review_assets/canonical_from_jar_png/offline/99006.png,reference/review_assets/character_creation_organized/01_core_compositor/body_sheet_family_990xx_confirmed/99006.png,confirmed_runtime,Confirmed body sheet family used by mb.java via 99000 + frameGroup.
reference/review_assets/canonical_from_jar_png/offline/99007.png,reference/review_assets/character_creation_organized/01_core_compositor/body_sheet_family_990xx_confirmed/99007.png,confirmed_runtime,Confirmed body sheet family used by mb.java via 99000 + frameGroup.
reference/review_assets/canonical_from_jar_png/offline/99008.png,reference/review_assets/character_creation_organized/01_core_compositor/body_sheet_family_990xx_confirmed/99008.png,confirmed_runtime,Confirmed body sheet family used by mb.java via 99000 + frameGroup.
reference/review_assets/canonical_from_jar_png/offline/99009.png,reference/review_assets/character_creation_organized/01_core_compositor/body_sheet_family_990xx_confirmed/99009.png,confirmed_runtime,Confirmed body sheet family used by mb.java via 99000 + frameGroup.
reference/review_assets/canonical_from_jar_png/offline/99099.png,reference/review_assets/character_creation_organized/01_core_compositor/body_sheet_family_990xx_confirmed/99099.png,confirmed_runtime,Confirmed body sheet family used by mb.java via 99000 + frameGroup.
reference/redecoded/extracted_meta/offline/79899.meta,reference/review_assets/character_creation_organized/01_core_compositor/gender_base_candidates/meta_79899_base_79800_candidate/79899.meta,confirmed_runtime,Original legacy .meta file extracted from twelvefull.jar.
reference/review_assets/canonical_from_jar_png/offline/79800.png,reference/review_assets/character_creation_organized/01_core_compositor/gender_base_candidates/meta_79899_base_79800_candidate/images/79800.png,confirmed_runtime,Instantiated directly by nw.java as one of the two gender base metadata families.
reference/review_assets/canonical_from_jar_png/offline/79801.png,reference/review_assets/character_creation_organized/01_core_compositor/gender_base_candidates/meta_79899_base_79800_candidate/images/79801.png,confirmed_runtime,Instantiated directly by nw.java as one of the two gender base metadata families.
reference/review_assets/canonical_from_jar_png/offline/79802.png,reference/review_assets/character_creation_organized/01_core_compositor/gender_base_candidates/meta_79899_base_79800_candidate/images/79802.png,confirmed_runtime,Instantiated directly by nw.java as one of the two gender base metadata families.
reference/review_assets/canonical_from_jar_png/offline/79803.png,reference/review_assets/character_creation_organized/01_core_compositor/gender_base_candidates/meta_79899_base_79800_candidate/images/79803.png,confirmed_runtime,Instantiated directly by nw.java as one of the two gender base metadata families.
reference/review_assets/canonical_from_jar_png/offline/79804.png,reference/review_assets/character_creation_organized/01_core_compositor/gender_base_candidates/meta_79899_base_79800_candidate/images/79804.png,confirmed_runtime,Instantiated directly by nw.java as one of the two gender base metadata families.
reference/review_assets/canonical_from_jar_png/offline/79805.png,reference/review_assets/character_creation_organized/01_core_compositor/gender_base_candidates/meta_79899_base_79800_candidate/images/79805.png,confirmed_runtime,Instantiated directly by nw.java as one of the two gender base metadata families.
reference/review_assets/canonical_from_jar_png/offline/79806.png,reference/review_assets/character_creation_organized/01_core_compositor/gender_base_candidates/meta_79899_base_79800_candidate/images/79806.png,confirmed_runtime,Instantiated directly by nw.java as one of the two gender base metadata families.
reference/review_assets/canonical_from_jar_png/offline/79807.png,reference/review_assets/character_creation_organized/01_core_compositor/gender_base_candidates/meta_79899_base_79800_candidate/images/79807.png,confirmed_runtime,Instantiated directly by nw.java as one of the two gender base metadata families.
reference/review_assets/canonical_from_jar_png/offline/79808.png,reference/review_assets/character_creation_organized/01_core_compositor/gender_base_candidates/meta_79899_base_79800_candidate/images/79808.png,confirmed_runtime,Instantiated directly by nw.java as one of the two gender base metadata families.
reference/review_assets/canonical_from_jar_png/offline/79809.png,reference/review_assets/character_creation_organized/01_core_compositor/gender_base_candidates/meta_79899_base_79800_candidate/images/79809.png,confirmed_runtime,Instantiated directly by nw.java as one of the two gender base metadata families.
reference/redecoded/extracted_meta/offline/79999.meta,reference/review_assets/character_creation_organized/01_core_compositor/gender_base_candidates/meta_79999_base_79900_candidate/79999.meta,confirmed_runtime,Original legacy .meta file extracted from twelvefull.jar.
reference/review_assets/canonical_from_jar_png/offline/79900.png,reference/review_assets/character_creation_organized/01_core_compositor/gender_base_candidates/meta_79999_base_79900_candidate/images/79900.png,confirmed_runtime,Instantiated directly by nw.java as one of the two gender base metadata families.
reference/review_assets/canonical_from_jar_png/offline/79901.png,reference/review_assets/character_creation_organized/01_core_compositor/gender_base_candidates/meta_79999_base_79900_candidate/images/79901.png,confirmed_runtime,Instantiated directly by nw.java as one of the two gender base metadata families.
reference/review_assets/canonical_from_jar_png/offline/79902.png,reference/review_assets/character_creation_organized/01_core_compositor/gender_base_candidates/meta_79999_base_79900_candidate/images/79902.png,confirmed_runtime,Instantiated directly by nw.java as one of the two gender base metadata families.
reference/review_assets/canonical_from_jar_png/offline/79903.png,reference/review_assets/character_creation_organized/01_core_compositor/gender_base_candidates/meta_79999_base_79900_candidate/images/79903.png,confirmed_runtime,Instantiated directly by nw.java as one of the two gender base metadata families.
reference/review_assets/canonical_from_jar_png/offline/79904.png,reference/review_assets/character_creation_organized/01_core_compositor/gender_base_candidates/meta_79999_base_79900_candidate/images/79904.png,confirmed_runtime,Instantiated directly by nw.java as one of the two gender base metadata families.
reference/review_assets/canonical_from_jar_png/offline/79905.png,reference/review_assets/character_creation_organized/01_core_compositor/gender_base_candidates/meta_79999_base_79900_candidate/images/79905.png,confirmed_runtime,Instantiated directly by nw.java as one of the two gender base metadata families.
reference/review_assets/canonical_from_jar_png/offline/79906.png,reference/review_assets/character_creation_organized/01_core_compositor/gender_base_candidates/meta_79999_base_79900_candidate/images/79906.png,confirmed_runtime,Instantiated directly by nw.java as one of the two gender base metadata families.
reference/review_assets/canonical_from_jar_png/offline/79907.png,reference/review_assets/character_creation_organized/01_core_compositor/gender_base_candidates/meta_79999_base_79900_candidate/images/79907.png,confirmed_runtime,Instantiated directly by nw.java as one of the two gender base metadata families.
reference/review_assets/canonical_from_jar_png/offline/79908.png,reference/review_assets/character_creation_organized/01_core_compositor/gender_base_candidates/meta_79999_base_79900_candidate/images/79908.png,confirmed_runtime,Instantiated directly by nw.java as one of the two gender base metadata families.
reference/review_assets/canonical_from_jar_png/offline/79909.png,reference/review_assets/character_creation_organized/01_core_compositor/gender_base_candidates/meta_79999_base_79900_candidate/images/79909.png,confirmed_runtime,Instantiated directly by nw.java as one of the two gender base metadata families.
reference/redecoded/extracted_meta/offline/89999.meta,reference/review_assets/character_creation_organized/01_core_compositor/default_overlay_candidates/meta_89999_base_89900_candidate/89999.meta,confirmed_runtime,Original legacy .meta file extracted from twelvefull.jar.
reference/review_assets/canonical_from_jar_png/offline/89900.png,reference/review_assets/character_creation_organized/01_core_compositor/default_overlay_candidates/meta_89999_base_89900_candidate/images/89900.png,confirmed_runtime,Instantiated directly by nw.java as the default overlay family used by the create-character compositor.
reference/review_assets/canonical_from_jar_png/offline/89901.png,reference/review_assets/character_creation_organized/01_core_compositor/default_overlay_candidates/meta_89999_base_89900_candidate/images/89901.png,confirmed_runtime,Instantiated directly by nw.java as the default overlay family used by the create-character compositor.
reference/review_assets/canonical_from_jar_png/offline/89902.png,reference/review_assets/character_creation_organized/01_core_compositor/default_overlay_candidates/meta_89999_base_89900_candidate/images/89902.png,confirmed_runtime,Instantiated directly by nw.java as the default overlay family used by the create-character compositor.
reference/review_assets/canonical_from_jar_png/offline/89903.png,reference/review_assets/character_creation_organized/01_core_compositor/default_overlay_candidates/meta_89999_base_89900_candidate/images/89903.png,confirmed_runtime,Instantiated directly by nw.java as the default overlay family used by the create-character compositor.
reference/review_assets/canonical_from_jar_png/offline/89904.png,reference/review_assets/character_creation_organized/01_core_compositor/default_overlay_candidates/meta_89999_base_89900_candidate/images/89904.png,confirmed_runtime,Instantiated directly by nw.java as the default overlay family used by the create-character compositor.
reference/review_assets/canonical_from_jar_png/offline/89905.png,reference/review_assets/character_creation_organized/01_core_compositor/default_overlay_candidates/meta_89999_base_89900_candidate/images/89905.png,confirmed_runtime,Instantiated directly by nw.java as the default overlay family used by the create-character compositor.
reference/review_assets/canonical_from_jar_png/offline/89906.png,reference/review_assets/character_creation_organized/01_core_compositor/default_overlay_candidates/meta_89999_base_89900_candidate/images/89906.png,confirmed_runtime,Instantiated directly by nw.java as the default overlay family used by the create-character compositor.
reference/review_assets/canonical_from_jar_png/offline/89907.png,reference/review_assets/character_creation_organized/01_core_compositor/default_overlay_candidates/meta_89999_base_89900_candidate/images/89907.png,confirmed_runtime,Instantiated directly by nw.java as the default overlay family used by the create-character compositor.
reference/review_assets/canonical_from_jar_png/offline/89908.png,reference/review_assets/character_creation_organized/01_core_compositor/default_overlay_candidates/meta_89999_base_89900_candidate/images/89908.png,confirmed_runtime,Instantiated directly by nw.java as the default overlay family used by the create-character compositor.
reference/review_assets/canonical_from_jar_png/offline/89909.png,reference/review_assets/character_creation_organized/01_core_compositor/default_overlay_candidates/meta_89999_base_89900_candidate/images/89909.png,confirmed_runtime,Instantiated directly by nw.java as the default overlay family used by the create-character compositor.
reference/redecoded/extracted_meta/offline/90999.meta,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_90999_base_90900_candidate/90999.meta,meta_group_candidate,Original legacy .meta file extracted from twelvefull.jar.
reference/review_assets/canonical_from_jar_png/offline/90900.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_90999_base_90900_candidate/images/90900.png,meta_group_candidate,Meta-backed appearance candidate family; likely hair or head overlay.
reference/review_assets/canonical_from_jar_png/offline/90901.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_90999_base_90900_candidate/images/90901.png,meta_group_candidate,Meta-backed appearance candidate family; likely hair or head overlay.
reference/review_assets/canonical_from_jar_png/offline/90902.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_90999_base_90900_candidate/images/90902.png,meta_group_candidate,Meta-backed appearance candidate family; likely hair or head overlay.
reference/review_assets/canonical_from_jar_png/offline/90903.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_90999_base_90900_candidate/images/90903.png,meta_group_candidate,Meta-backed appearance candidate family; likely hair or head overlay.
reference/review_assets/canonical_from_jar_png/offline/90904.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_90999_base_90900_candidate/images/90904.png,meta_group_candidate,Meta-backed appearance candidate family; likely hair or head overlay.
reference/review_assets/canonical_from_jar_png/offline/90905.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_90999_base_90900_candidate/images/90905.png,meta_group_candidate,Meta-backed appearance candidate family; likely hair or head overlay.
reference/review_assets/canonical_from_jar_png/offline/90906.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_90999_base_90900_candidate/images/90906.png,meta_group_candidate,Meta-backed appearance candidate family; likely hair or head overlay.
reference/review_assets/canonical_from_jar_png/offline/90907.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_90999_base_90900_candidate/images/90907.png,meta_group_candidate,Meta-backed appearance candidate family; likely hair or head overlay.
reference/review_assets/canonical_from_jar_png/offline/90908.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_90999_base_90900_candidate/images/90908.png,meta_group_candidate,Meta-backed appearance candidate family; likely hair or head overlay.
reference/review_assets/canonical_from_jar_png/offline/90909.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_90999_base_90900_candidate/images/90909.png,meta_group_candidate,Meta-backed appearance candidate family; likely hair or head overlay.
reference/redecoded/extracted_meta/offline/91099.meta,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_91099_base_91000_candidate/91099.meta,meta_group_candidate,Original legacy .meta file extracted from twelvefull.jar.
reference/review_assets/canonical_from_jar_png/offline/91000.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_91099_base_91000_candidate/images/91000.png,meta_group_candidate,Meta-backed appearance candidate family; likely hair or head overlay.
reference/review_assets/canonical_from_jar_png/offline/91001.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_91099_base_91000_candidate/images/91001.png,meta_group_candidate,Meta-backed appearance candidate family; likely hair or head overlay.
reference/review_assets/canonical_from_jar_png/offline/91002.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_91099_base_91000_candidate/images/91002.png,meta_group_candidate,Meta-backed appearance candidate family; likely hair or head overlay.
reference/review_assets/canonical_from_jar_png/offline/91003.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_91099_base_91000_candidate/images/91003.png,meta_group_candidate,Meta-backed appearance candidate family; likely hair or head overlay.
reference/review_assets/canonical_from_jar_png/offline/91004.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_91099_base_91000_candidate/images/91004.png,meta_group_candidate,Meta-backed appearance candidate family; likely hair or head overlay.
reference/review_assets/canonical_from_jar_png/offline/91005.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_91099_base_91000_candidate/images/91005.png,meta_group_candidate,Meta-backed appearance candidate family; likely hair or head overlay.
reference/review_assets/canonical_from_jar_png/offline/91006.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_91099_base_91000_candidate/images/91006.png,meta_group_candidate,Meta-backed appearance candidate family; likely hair or head overlay.
reference/review_assets/canonical_from_jar_png/offline/91007.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_91099_base_91000_candidate/images/91007.png,meta_group_candidate,Meta-backed appearance candidate family; likely hair or head overlay.
reference/review_assets/canonical_from_jar_png/offline/91008.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_91099_base_91000_candidate/images/91008.png,meta_group_candidate,Meta-backed appearance candidate family; likely hair or head overlay.
reference/review_assets/canonical_from_jar_png/offline/91009.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_91099_base_91000_candidate/images/91009.png,meta_group_candidate,Meta-backed appearance candidate family; likely hair or head overlay.
reference/redecoded/extracted_meta/offline/91299.meta,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_91299_base_91200_candidate/91299.meta,meta_group_candidate,Original legacy .meta file extracted from twelvefull.jar.
reference/review_assets/canonical_from_jar_png/offline/91200.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_91299_base_91200_candidate/images/91200.png,meta_group_candidate,Meta-backed appearance candidate family; likely face or front-head overlay.
reference/review_assets/canonical_from_jar_png/offline/91201.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_91299_base_91200_candidate/images/91201.png,meta_group_candidate,Meta-backed appearance candidate family; likely face or front-head overlay.
reference/review_assets/canonical_from_jar_png/offline/91202.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_91299_base_91200_candidate/images/91202.png,meta_group_candidate,Meta-backed appearance candidate family; likely face or front-head overlay.
reference/review_assets/canonical_from_jar_png/offline/91203.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_91299_base_91200_candidate/images/91203.png,meta_group_candidate,Meta-backed appearance candidate family; likely face or front-head overlay.
reference/review_assets/canonical_from_jar_png/offline/91204.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_91299_base_91200_candidate/images/91204.png,meta_group_candidate,Meta-backed appearance candidate family; likely face or front-head overlay.
reference/review_assets/canonical_from_jar_png/offline/91205.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_91299_base_91200_candidate/images/91205.png,meta_group_candidate,Meta-backed appearance candidate family; likely face or front-head overlay.
reference/review_assets/canonical_from_jar_png/offline/91206.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_91299_base_91200_candidate/images/91206.png,meta_group_candidate,Meta-backed appearance candidate family; likely face or front-head overlay.
reference/review_assets/canonical_from_jar_png/offline/91207.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_91299_base_91200_candidate/images/91207.png,meta_group_candidate,Meta-backed appearance candidate family; likely face or front-head overlay.
reference/review_assets/canonical_from_jar_png/offline/91208.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_91299_base_91200_candidate/images/91208.png,meta_group_candidate,Meta-backed appearance candidate family; likely face or front-head overlay.
reference/review_assets/canonical_from_jar_png/offline/91209.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_91299_base_91200_candidate/images/91209.png,meta_group_candidate,Meta-backed appearance candidate family; likely face or front-head overlay.
reference/redecoded/extracted_meta/offline/98099.meta,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98099_base_98000_candidate/98099.meta,meta_group_candidate,Original legacy .meta file extracted from twelvefull.jar.
reference/review_assets/canonical_from_jar_png/offline/98000.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98099_base_98000_candidate/images/98000.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98001.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98099_base_98000_candidate/images/98001.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98002.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98099_base_98000_candidate/images/98002.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98003.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98099_base_98000_candidate/images/98003.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98004.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98099_base_98000_candidate/images/98004.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98005.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98099_base_98000_candidate/images/98005.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98006.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98099_base_98000_candidate/images/98006.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98007.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98099_base_98000_candidate/images/98007.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98008.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98099_base_98000_candidate/images/98008.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98009.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98099_base_98000_candidate/images/98009.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/redecoded/extracted_meta/offline/98199.meta,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98199_base_98100_candidate/98199.meta,meta_group_candidate,Original legacy .meta file extracted from twelvefull.jar.
reference/review_assets/canonical_from_jar_png/offline/98100.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98199_base_98100_candidate/images/98100.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98101.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98199_base_98100_candidate/images/98101.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98102.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98199_base_98100_candidate/images/98102.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98103.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98199_base_98100_candidate/images/98103.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98104.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98199_base_98100_candidate/images/98104.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98105.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98199_base_98100_candidate/images/98105.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98106.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98199_base_98100_candidate/images/98106.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98107.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98199_base_98100_candidate/images/98107.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98108.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98199_base_98100_candidate/images/98108.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98109.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98199_base_98100_candidate/images/98109.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/redecoded/extracted_meta/offline/98299.meta,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98299_base_98200_candidate/98299.meta,meta_group_candidate,Original legacy .meta file extracted from twelvefull.jar.
reference/review_assets/canonical_from_jar_png/offline/98200.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98299_base_98200_candidate/images/98200.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98201.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98299_base_98200_candidate/images/98201.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98202.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98299_base_98200_candidate/images/98202.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98203.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98299_base_98200_candidate/images/98203.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98204.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98299_base_98200_candidate/images/98204.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98205.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98299_base_98200_candidate/images/98205.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98206.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98299_base_98200_candidate/images/98206.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98207.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98299_base_98200_candidate/images/98207.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98208.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98299_base_98200_candidate/images/98208.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/review_assets/canonical_from_jar_png/offline/98209.png,reference/review_assets/character_creation_organized/02_option_meta_families/appearance_candidates/meta_98299_base_98200_candidate/images/98209.png,meta_group_candidate,Meta-backed appearance candidate family; visually plausible ornate hair set.
reference/redecoded/extracted_meta/offline/94399.meta,reference/review_assets/character_creation_organized/02_option_meta_families/headgear_equipment_candidates/meta_94399_base_94300_candidate/94399.meta,meta_group_candidate,Original legacy .meta file extracted from twelvefull.jar.
reference/review_assets/canonical_from_jar_png/offline/94300.png,reference/review_assets/character_creation_organized/02_option_meta_families/headgear_equipment_candidates/meta_94399_base_94300_candidate/images/94300.png,meta_group_candidate,Meta-backed equipment candidate family; likely headgear rather than bare create-character appearance.
